SERVICEAUFTRAG;POSITION;ARTIKEL;NAME;MENGE
2003983;1;K04867;"Extruderschweißgerät; MAK-40-D, 230 V, mN";1
2003983;2;K04468;"Schaltgehäuse-Unterteil; K - Regler";1
2003983;3;K04234;"Heizung; Keramik, 2300W, 230V, MEG-23";1
2003983;4;K05924;"Reparatur, Regler; für Gebläse u. Heizung, Typ K";1
2003983;5;K03068;"Druckhebel 2/1-1/R; MA/E-40 u. 60";1
2003983;6;K03701;"Axialrillenkugellager; 51305";1
2003983;7;K03702;"Rillenkugellager; 6005 2RS C3 FT150";1
2003983;8;K04172;"Öl; 80ml";1
2003983;9;K03336;"Frontfolie 06; für K-Regler";1
2003983;10;K04785;"Kabelklammer, Polyethylen; Größe 4";1
2003983;11;KK002;Arbeitslohn;3
2003984;1;K04682;"Extruderschweißgerät; MAK-36-B, 230 V, mN, P";1
2003984;2;K04232;"Elektronikeinheit; 230V, MEG-23";1
2003984;3;K04234;"Heizung; Keramik, 2300W, 230V, MEG-23";1
2003984;4;K03068;"Druckhebel 2/1-1/R; MA/E-40 u. 60";1
2003984;5;K01017;"Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)";1
2003984;6;K04172;"Öl; 80ml";1
2003984;7;K02432;"Schutzkappe für Schutzschalter EBM13;";1
2003984;8;KK002;Arbeitslohn;3
2003988;1;K03969B;"Extruderschweißg.  MM-Xtruder; 230 V, mN";1
2003990;1;K03969;"Extruderschweißg.  MM-Xtruder; 230 V, mN";1
2003990;2;K03879;"Extruderschnecke; MM";1
2003990;3;K05539;"Einzugshülse V; MM";1
2003990;4;K05538;"Schneidkopf 18-9; MM";1
2003990;5;K03964;"Motoreinheit, 230V; Vorwärmung                  MM";1
2003990;6;K02669;"Axialrillenkugellager; 51203";1
2003990;7;K03890;"Antriebseinheit; 40 / 42 MM";1
2003990;8;K01017;"Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)";1
2003990;9;K04737;"Gummi-Metall-Element; T-Flex Q4";4
2003990;10;KK002;Arbeitslohn;2,5
2003990;11;KK002;Arbeitslohn;1
2003993;1;K04676;"Extruderschweißgerät; MAK-18, 230 V, mN";1
2003993;2;K05131;Anker UX1 230V;1
2003993;3;K05148;"Vorlegerad;UX1";1
2003993;4;K03638;"Wellendichtring; 10x19x7 Viton, Form A";1
2003993;5;K03636;"O-Ring; 62 x 2";1
2003993;6;K06972;"Rillenkugellager + Lagerhülse; montiert";1
2003993;7;K03832;"Rillenkugellager; 608 BRS";1
2003993;8;K03852;"Rillenkugellager; 6000-2BRS C3";1
2003993;9;K03588;"Sicherungsring; SW 10";1
2003993;10;K03640;"Dichtring; 4,5 x 7 x 1  U-Seal Standard";3
2003993;11;K04886A;"Kohlebürste UX1; 2412";2
2003993;12;K04172;"Öl; 80ml";1
2003993;13;K03067;"Druckhebel 1/1-1/R; MA/E-25 u. 25-S";1
2003993;14;K04785;"Kabelklammer, Polyethylen; Größe 4";1
2003993;15;K02669;"Axialrillenkugellager; 51203";1
2003993;16;K04361;"Rillenkugellager; 6003 2RS C3 FT150";1
2003993;17;K04234;"Heizung; Keramik, 2300W, 230V, MEG-23";1
2003993;18;KK002;Arbeitslohn;2
2003994;1;K02782A;"Powerbox WX2PBMu, 230V; mit EMV-Filter";1
2003994;2;K05492;"Frequenzumrichter  kompl. ;  Austausch";1
2003994;3;K01017;"Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)";1
2003994;4;KK002;Arbeitslohn;1
2003995;1;K03969B;Munsch Mini Xtruder 230 V, mN;1
2003995;2;K04737;Rubber connector;4
2003995;3;K04110;Switch for MINI, without speed control;1
2003995;4;KK001;"Sundry supplies;";1
2003995;5;KK002;"Labour costs;";2
2003997;1;K02288;Extruder Welding Machine ME- 6 400 V, DR-AP;1
2003997;2;K02279;Holding angle For casing MA/E-60,40,25,G50      230/400;1
2003997;3;K02685;Casing w/ electronic parts complete MA/E-60;1
2003997;4;K02187;Temperature control E5GC-QX1ACM-300;1
2003997;5;K02432;Blind cover EBM13 800134;1
2003997;6;K00537;Axial ball bearing 51105;1
2003997;7;K01989;Ball bearing 61905-2RS1;1
2003997;8;K03068;Pressure lever 2/1-1/R MA/E-40 u. 60;1
2003997;9;K04172;"Oil; 80ml";1
2003997;10;K02355;"Carbon brush; EBM13/EBL21SKE, 6,4x16x18";2
2003997;11;KK001;"Sundry supplies;";1
2003997;12;KK002;"Labour costs;";1
2003997;13;KK002;"Labour costs;";3,5
2004004;1;K04676;"Extruderschweißgerät; MAK-18, 230 V, mN";1
2004004;2;K04785;"Kabelklammer, Polyethylen; Größe 4";1
2004004;3;KK002;Arbeitslohn;1
2004004;4;999000;Verpackungskosten;1
2004006;1;K04676;"Extruderschweißgerät; MAK-18, 230 V, mN";1
2004006;2;K03067;"Druckhebel 1/1-1/R; MA/E-25 u. 25-S";1
2004006;3;K04785;"Kabelklammer, Polyethylen; Größe 4";1
2004006;4;K02669;"Axialrillenkugellager; 51203";1
2004006;5;K02965;"Dichtring; MA/E-25 u. 25-S";1
2004006;6;K04361;"Rillenkugellager; 6003 2RS C3 FT150";1
2004006;7;K02941;"Handgriff; M 8            MA/E-25 u. 25-S";1
2004006;8;K05131;Anker UX1 230V;1
2004006;9;K05189;"Luftleitscheibe; Antrieb DB, UX1";1
2004006;10;K03035;"Sicherungsring; H 16";1
2004006;11;K03831;"Rillenkugellager; 6000 BRS";1
2004006;12;K03832;"Rillenkugellager; 608 BRS";2
2004006;13;K03839;"Sicherungsring; A14";1
2004006;14;K03636;"O-Ring; 62 x 2";1
2004006;15;K03852;"Rillenkugellager; 6000-2BRS C3";1
2004006;16;K03638;"Wellendichtring; 10x19x7 Viton, Form A";1
2004006;17;K03588;"Sicherungsring; SW 10";1
2004006;18;K05134;"Rillenkugellager UX1; 901144";1
2004006;19;K05158;"Lagerhülse; 401041";1
2004006;20;K03640;"Dichtring; 4,5 x 7 x 1  U-Seal Standard";3
2004006;21;K04172;"Öl; 80ml";1
2004006;22;K04886A;"Kohlebürste UX1; 2412";2
2004006;23;K03635;"Wellendichtring; 25x42x7 - BA";1
2004006;24;KK001;Kleinteile;1
2004006;25;KK002;Arbeitslohn;3
2004007;1;K03969CS4;"Extruderschweißg.  MM-Xtruder; 230 V, mN, 4mm";1
2004007;2;K04808B;"Regler f. Masse/Luft; 230 V / 250W mit MotorLP MM";1
2004007;3;K04945;"Lüftereinheit Antrieb; vormontiert";1
2004007;4;K03964;"Motoreinheit, 230V; Vorwärmung                  MM";1
2004007;5;K02669;"Axialrillenkugellager; 51203";1
2004007;6;K04361;"Rillenkugellager; 6003 2RS C3 FT150";1
2004007;7;K03890;"Antriebseinheit; 40 / 42 MM";1
2004007;8;K06087;"Extruderschnecke; MM";1
2004007;9;K05538;"Schneidkopf 18-9; MM";1
2004007;10;K05539;"Einzugshülse V; MM";1
2004007;11;KK001;Kleinteile;1
2004007;12;KK002;Arbeitslohn;3
2004008;1;K03969A;"Extruderschweißg.  MM-Xtruder; 230 V, mN";1
2004008;2;K02669;"Axialrillenkugellager; 51203";1
2004008;3;K04945;"Lüftereinheit Antrieb; vormontiert";1
2004008;4;K04737;"Gummi-Metall-Element; T-Flex Q4";1
2004008;5;999000;Verpackungskosten;1
2004009;1;K04676;"Extruderschweißgerät; MAK-18, 230 V, mN";1
2004009;2;K04886A;"Kohlebürste UX1; 2412";2
2004009;3;K04172;"Öl; 80ml";1
2004009;4;K04509;"Düse; 30, MA/E-K-18/25, 3mm";1
2004009;5;KK001;Kleinteile;1
2004009;6;KK002;Arbeitslohn;2
2004011;1;K04680;"Extruderschweißgerät; MAK-25, 230 V, mN";1
2004011;2;K03348;"Verbindungsleitung; WX2PBMu-WX2Mu , orange";1
2004011;3;K04468;"Schaltgehäuse-Unterteil; K - Regler";1
2004011;4;K00664;"Verschraubung; PG 9";1
2004011;5;K03067;"Druckhebel 1/1-1/R; MA/E-25 u. 25-S";1
2004011;6;K03336;"Frontfolie 06; für K-Regler";1
2004011;7;K04785;"Kabelklammer, Polyethylen; Größe 4";1
2004011;8;K02669;"Axialrillenkugellager; 51203";1
2004011;9;K04361;"Rillenkugellager; 6003 2RS C3 FT150";1
2004011;10;K04172;"Öl; 80ml";1
2004011;11;KK001;Kleinteile;1
2004011;12;KK002;Arbeitslohn;3
2004012;1;K03969A;Munsch Mini Xtruder 230 V, mN;1
2004013;1;K04676;"Extruderschweißgerät; MAK-18, 230 V, mN";1
2004013;2;KK002;Arbeitslohn;1
2004013;3;KK002;Arbeitslohn;1
2004014;1;K02801B;"Extruderschweißgerät MA-25-S; 230 V, EO-H";1
2004014;2;K00519;"Motor (Schnelläufer); 230 Volt, 5701";1
2004014;3;K00474;"Heizelement 32.1; 230 Volt 2200 Watt";1
2004014;4;K03348;"Verbindungsleitung; WX2PBMu-WX2Mu , orange";1
2004014;5;K02669;"Axialrillenkugellager; 51203";1
2004014;6;K02670;"Rillenkugellager; 6003-2RS1";1
2004014;7;K03067;"Druckhebel 1/1-1/R; MA/E-25 u. 25-S";1
2004014;8;K04172;"Öl; 80ml";1
2004014;9;KK001;Kleinteile;1
2004014;10;KK002;Arbeitslohn - Defekte feststellen;1
2004014;11;KK002;Arbeitslohn - Defekte beheben;1,5
2004015;1;K02782A;"Powerbox WX2PBMu, 230V; mit EMV-Filter";1
2004015;2;KK002;Arbeitslohn;1
2004017;1;K02782A;"Powerbox WX2PBMu, 230V; mit EMV-Filter";1
2004017;2;K06766;Gleichrichter Powerbox;1
2004017;3;K05442;"Distanzhülse; Id4,3 x Ad8 x 7, Ms";2
2004017;4;K03626;"Verschlußkappe; Gerätedose";1
2004017;5;K03623;"Einbaudose kompl.; Munsch konfektioniert";1
2004017;6;KK002;Arbeitslohn - Schadensbild ermitteln;0,5
2004017;7;KK002;Arbeitslohn - Schaden beheben;1
2004019;1;K00758;"Extruderschweißgerät Typ SKR; 230 Volt,";1
2004019;2;K00749;"Klemmschelle; UKR SKR U5R U7R U8R (A)";1
2004019;3;K00701;"Untere Förderrolle m. Paßfeder; UK SK UKR SKR U5R (A)";1
2004019;4;K00651;"Schneckenrad; UK SK UKR SKR (A)";1
2004019;5;K00610;"Gleitlager; 6 x 12 x 8";1
2004019;6;K00627;"Gleitlager; 8 x 12 x 8";1
2004019;7;K00659;"Seeger-Greifring; G   5,5 x 0,8";1
2004019;8;K00254;"Kugellager  608 2RS1; 8 X 22 X 7";1
2004019;9;K00662;"Paßscheibe, 6 x 10 x 1; UK SK UKR SKR U5R (A)";1
2004019;10;K00744;"Extruderschnecke; UKR SKR (A)";1
2004019;11;K01068;"Axialrillenkugellager; 51104";1
2004019;12;K00652;"Bundlager; 16 x 22 x 28 x 3 x 12";1
2004019;13;K00657;"Sicherungsring; I   35 x 1,5";1
2004019;14;K00658;"Sicherungsring; A   20 x 1,2";1
2004019;15;K00685;"Sicherungsring; A   16 x 1";1
2004019;16;K00698;"Fettkammer; UK SK UKR SKR U5R (A)";1
2004019;17;K00661;"Paßscheibe; 16 x 22 x 1,5";1
2004019;18;K00660;Paßscheibe 20 x 28 x 2;1
2004019;19;K03910;"Bohrspindel; BE 1020 , 0003; genutet";1
2004019;20;K03949;"Kohlebuerste 230V; BE 1020 , 0044, 1 VE=2Stück";1
2004019;21;K03923;"Rillenkugellager. 15x 32x 9; BE 1020 , 0016";1
2004019;22;KK001;Kleinteile;1
2004019;23;KK002;Arbeitslohn - Defekte feststellen;1
2004019;24;KK002;Arbeitslohn - Defekte beheben;3
2004020;1;K02799B;"Extruderschweißgerät MA-25; 230 V, EO-H";1
2004020;2;K03067;"Druckhebel 1/1-1/R; MA/E-25 u. 25-S";1
2004020;3;K02954;"Kohlen zu Electron 230V; ""abschaltbar""";1
2004020;4;K02795;"T-Griff; 338008  Innengewinde M8";1
2004020;5;K02696;"Vorwärmdüse 20; MA/E-25 u. 25-S ,UkR,SkR, MAK18/25";1
2004020;6;K02669;"Axialrillenkugellager; 51203";1
2004020;7;K04361;"Rillenkugellager; 6003 2RS C3 FT150";1
2004020;8;K02753;"Schalter , Baugruppe; MA/E-60,40,25";1
2004020;9;K02648;"Lüfterrad - komplett; Antrieb DB, WX2Mu";1
2004020;10;KK001;Kleinteile;1
2004020;11;KK002;Arbeitslohn;2,5
2004020;12;K05347;"Schweißschuh MM; 67.0120F-32-20-M (R15x1,9mm)";2
2004024;1;K04684;"Extruderschweißgerät; MAK-36-D, 230 V, mN, S";1
2004024;2;KK002;Arbeitslohn;1,5
2004025;1;K05050;"Extruderschweißgerät; MAK-48-D, 230 V, mN, mD";1
2004025;2;KK002;Arbeitslohn;1,5
2004026;1;K04676;"Extruderschweißgerät; MAK-18, 230 V, mN";1
2004026;2;KK002;Arbeitslohn;1
2004027;1;K04676;"Extruderschweißgerät; MAK-18, 230 V, mN";1
2004027;2;KK002;Arbeitslohn;1
2004029;1;K04676;"Extruderschweißgerät; MAK-18, 230 V, mN";1
2004029;2;KK002;Arbeitslohn;1
2004030;1;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";1
2004030;2;K04808B;"Regler f. Masse/Luft; 230 V / 250W mit MotorLP MM";1
2004030;3;K03964;"Motoreinheit, 230V; Vorwärmung                  MM";1
2004030;4;KK002;Arbeitslohn;2
2004031;1;K03969C;"Extruderschweißg.  MM-Xtruder; 230 V, mN";1
2004031;2;K04808B;"Reparatur Regler f. Masse/Luft; 230 V / 250W mit MotorLP MM";1
2004031;3;K04135;"Kabel vorkonfektioniert; 230V 3x1,5mm² 5m lg.        MM";1
2004031;4;KK002;Arbeitslohn;1
2004031;5;K04946;"Lüftereinheit Regler; vormontiert";1
2004031;6;K04945;"Lüftereinheit Antrieb; vormontiert";1
2004031;7;K03890;"Antriebseinheit; 40 / 42 MM";1
2004031;8;KK002;Arbeitslohn;2
2004032;1;K04672;"Portable Extruder Welding Gun; MAK-18-S, 230 V, mN";1
2004032;2;K04444;"Heat controller; Type H, A-S-18; 230V";1
2004032;3;K04165;PVC handle SW RAL 9005 18 x 2,5 x 30 lg;1
2004032;4;K04445;"Shaft; Controller Typ H";1
2004032;5;K04814;"Knob cover; black";1
2004032;6;K04816;"Knob  pointer; red";1
2004032;7;K04813;"Rotatable part; d15, 6mm";1
2004032;8;K04785;Rod Guide;1
2004032;9;KK002;"Labour costs;";1,5
2004032;10;KK002;"Labour costs;";1
2004033;1;K04680;"Extruderschweißgerät; MAK-25, 230 V, mN";1
2004033;2;K03348;"Verbindungsleitung; WX2PBMu-WX2Mu , orange";1
2004033;3;K04234;"Heizung; Keramik, 2300W, 230V, MEG-23";1
2004033;4;K04785;"Kabelklammer, Polyethylen; Größe 4";1
2004033;5;KK002;Arbeitslohn;2
2004035;1;K05039;"Extruderschweißgerät; MAK-32-D, 230 V, mN";1
2004035;2;K04385;"Berührschutz; MAK 18,25,36,40,58,65 u. MEK 18,25";1
2004035;3;K04423;"Halterung MEG; oben 36,40,58,65";1
2004035;4;K04703;"Warmluftführung 36; Deponie";1
2004035;5;K02520;"Berührschutz; MA/E-40; MAK-48";1
2004035;6;K04785;"Kabelklammer, Polyethylen; Größe 4";1
2004035;7;KK001;Kleinteile;1
2004035;8;KK002;Arbeitslohn;2,5
2004035;9;K04886A;"Kohlebürste UX1; 2412";2
2004037;1;K02799B;"Extruderschweißgerät MA-25; 230 V, EO-H";1
2004037;2;K03067;"Druckhebel 1/1-1/R; MA/E-25 u. 25-S";1
2004037;3;K02669;"Axialrillenkugellager; 51203";1
2004037;4;K02670;"Rillenkugellager; 6003-2RS1";1
2004037;5;K02954;"Kohlen zu Electron 230V; ""abschaltbar""";1
2004037;6;K04172;"Öl; 80ml";1
2004037;7;KK002;Arbeitslohn;2
2004038;1;K03969A;"Extruderschweißg.  MM-Xtruder; 230 V, mN";1
2004038;2;K04135;"Kabel vorkonfektioniert; 230V 3x1,5mm² 5m lg.        MM";1
2004038;3;K03964;"Motoreinheit, 230V; Vorwärmung                  MM";1
2004038;4;K03894;"Axiallüfter; 40 x 40 x 25                MM";1
2004038;5;K06058;"Lüfterabdeckung mit Filter ;  MM";1
2004038;6;K04737;"Gummi-Metall-Element; T-Flex Q4";4
2004038;7;K03883;"Düse; 40-6                        MM";1
2004038;8;KK001;Kleinteile;1
2004038;9;KK002;Arbeitslohn;2,5
2004040;1;K03969B;Munsch Mini Xtruder 230 V, mN;1
2004040;2;K06725;Extruder screw MM;1
2004040;3;K02669;Axial ball bearing 51203;1
2004040;4;K06088;Extruder body MM;1
2004040;5;K02698;Distance ring 17/3           MA/E-25 u. 25-S;1
2004040;6;K04361;"Ball bearing; 6003 2RS C3 FT150";1
2004040;7;K06044;Heating coil;1
2004040;8;K06045;Nozzle PFA 40-6                        MM;1
2004040;9;KK002;"Labour costs;";2,5
2004041;1;K03969B;"Extruderschweißg.  MM-Xtruder; 230 V, mN";1
2004041;2;K03882B;"Schmelzkammer; MM";1
2004041;3;K05539;"Einzugshülse V; MM";1
2004041;4;K05538;"Schneidkopf 18-9; MM";1
2004041;5;K03964;"Motoreinheit, 230V; Vorwärmung                  MM";1
2004041;6;K03883;"Düse; 40-6                        MM";1
2004041;7;K02669;"Axialrillenkugellager; 51203";1
2004041;8;KK001;Kleinteile;1
2004041;9;KK002;Arbeitslohn;3
2004041;10;999000;Verpackungskosten;1
2004042;1;K05552;"Heizkeilschweissmaschine Wedge It Multi; mit Datenaufzeichnung";1
2004042;2;K05848;Stopfen;1
2004042;3;KK009;Kalibrierung - Heizkeilschweißgerät Multi;1
2004042;4;KK002;Arbeitslohn;1
2004043;1;K03330;"Extruderschweißgerät MA-40-BE; 230 V, ER-H";1
2004043;2;KK010;Austausch-Rotor;1
2004043;3;K00537;"Axialrillenkugellager; 51105";1
2004043;4;K01989;"Rillenkugellager; 61905-2RS1";1
2004043;5;K02954;"Kohlen zu Electron 230V; ""abschaltbar""";1
2004043;6;K04155;"Kohlebürstenführung abschaltbar; Electron";1
2004043;7;K00452;"Linsenschraube M 4 x 10; mit Innensechsrund, TX20";6
2004043;8;K03068;"Druckhebel 2/1-1/R; MA/E-40 u. 60";1
2004043;9;K04172;"Öl; 80ml";1
2004043;10;K03635;"Wellendichtring; 25x42x7 - BA";1
2004043;11;K03852;"Rillenkugellager; 6000-2BRS C3";2
2004043;12;K03832;"Rillenkugellager; 608 BRS";2
2004043;13;K03831;"Rillenkugellager; 6000 BRS";1
2004043;14;K03839;"Sicherungsring; A14";1
2004043;15;K05585;"Geflechtschlauch; 10 bis 20mm";35
2004043;16;K03636;"O-Ring; 62 x 2";1
2004043;17;K03638;"Wellendichtring; 10x19x7 Viton, Form A";1
2004043;18;K03640;"Dichtring; 4,5 x 7 x 1  U-Seal Standard";3
2004043;19;K05682;"Acryl-Glasseidenschlauch; Id5, natur, 150m Spule";15
2004043;20;K03588;"Sicherungsring; SW 10";1
2004043;21;KK001;Kleinteile;1
2004043;22;KK002;Arbeitslohn;4
2004044;1;K04676;"Extruderschweißgerät; MAK-18, 230 V, mN";1
2004044;2;K05131;Anker UX1 230V;1
2004044;3;K05160;"Kabelbaum; UX1";1
2004044;4;K04198;"Griffschale; MEG-23 / MEG-17";1
2004044;5;K04232;"Elektronikeinheit; 230V, MEG-23";1
2004044;6;K04361;"Rillenkugellager; 6003 2RS C3 FT150";1
2004044;7;K02669;"Axialrillenkugellager; 51203";1
2004044;8;K04785;"Kabelklammer, Polyethylen; Größe 4";1
2004044;9;K03831;"Rillenkugellager; 6000 BRS";1
2004044;10;K03832;"Rillenkugellager; 608 BRS";2
2004044;11;K03839;"Sicherungsring; A14";1
2004044;12;K03636;"O-Ring; 62 x 2";1
2004044;13;K03852;"Rillenkugellager; 6000-2BRS C3";1
2004044;14;K03638;"Wellendichtring; 10x19x7 Viton, Form A";1
2004044;15;K03588;"Sicherungsring; SW 10";1
2004044;16;K05134;"Rillenkugellager UX1; 901144";1
2004044;17;K05158;"Lagerhülse; 401041";1
2004044;18;K03640;"Dichtring; 4,5 x 7 x 1  U-Seal Standard";3
2004044;19;K04172;"Öl; 80ml";1
2004044;20;K04886A;"Kohlebürste UX1; 2412";2
2004044;21;K03635;"Wellendichtring; 25x42x7 - BA";1
2004044;22;KK001;Kleinteile;1
2004044;23;KK002;Arbeitslohn;3,5
2004045;1;K03330;"Extruderschweißgerät MA-40-BE; 230 V, ER-H";1
2004045;2;K02782A;"Powerbox WX2PBMu, 230V; mit EMV-Filter";1
2004045;3;K03348;"Verbindungsleitung; WX2PBMu-WX2Mu , orange";1
2004045;4;K02187;"Regler f. Masse/Luft; + Halter, E5GC-QX1ACM-300";1
2004045;5;K00218;"Kugellager 626 2RS; 14311223";2
2004045;6;K05574;"Flansch;";1
2004045;7;K05544;"Rillenkugellager;";1
2004045;8;K00537;"Axialrillenkugellager; 51105";1
2004045;9;K01989;"Rillenkugellager; 61905-2RS1";1
2004045;10;K02644;"Griffschale - links; Antrieb WX2";1
2004045;11;K02645;"Griffschale - rechts; Antrieb";1
2004045;12;K03595;"Kabelbaum; WX2Mu";1
2004045;13;K02435;"Geräteschalter; EBM13/WX2";1
2004045;14;K04172;"Öl; 80ml";1
2004045;15;K03635;"Wellendichtring; 25x42x7 - BA";1
2004045;16;K03852;"Rillenkugellager; 6000-2BRS C3";2
2004045;17;K03832;"Rillenkugellager; 608 BRS";2
2004045;18;K03831;"Rillenkugellager; 6000 BRS";1
2004045;19;K03839;"Sicherungsring; A14";1
2004045;20;K05585;"Geflechtschlauch; 10 bis 20mm";35
2004045;21;K03636;"O-Ring; 62 x 2";1
2004045;22;K03638;"Wellendichtring; 10x19x7 Viton, Form A";1
2004045;23;K03640;"Dichtring; 4,5 x 7 x 1  U-Seal Standard";3
2004045;24;K05682;"Acryl-Glasseidenschlauch; Id5, natur, 150m Spule";15
2004045;25;K03588;"Sicherungsring; SW 10";1
2004045;26;KK001;Kleinteile;1
2004045;27;KK002;Arbeitslohn - Schadensbild feststellen;1,5
2004045;28;KK002;Arbeitslohn - Schaden beheben;3,5
2004046;1;K04672;"Portable Extruder Welding Gun; MAK-18-S, 230 V, mN";1
2004046;2;K04814;"Knob cover; black";2
2004046;3;K04444;"Heat controller; Type H, A-S-18; 230V";1
2004046;4;K04785;Rod Guide;1
2004046;5;K05674;"Housing cover; UX1";1
2004046;6;K02696;Preheating nozzle 20 MA/E-25 u. 25-S ,UkR,SkR,EkR;1
2004046;7;K03035;Circlip H 16;1
2004046;8;K04886A;"Carbon brush; UX1 115V, 230V";2
2004046;9;KK001;"Sundry supplies;";1
2004046;10;KK002;"Labour costs;";2
2004047;1;K03969B;Munsch Mini Xtruder 230 V, mN;1
2004047;2;K03964;Motor unit , preheating 230V;1
2004047;3;K04945;Fan guard, drive  MM;1
2004047;4;K04808B;Temperature control 230 V / 250W   MM;1
2004047;5;K03309;parallel pin 3 m6 x  10;1
2004047;6;K05539;"wear sleeve;  MM";1
2004047;7;K04110;Switch for MINI, without speed control;1
2004047;8;K02669;Axial ball bearing 51203;1
2004047;9;KK001;"Sundry supplies;";1
2004047;10;KK002;"Labour costs;";3
2004048;1;K02782A;"Powerbox WX2PBMu, 230V; mit EMV-Filter";1
2004048;2;K05492;"Frequenzumrichter  kompl. ;  Austausch";1
2004048;3;KK001;Kleinteile;1
2004048;4;KK002;Arbeitslohn;1
2004050;1;K02782B;"Powerbox WX2PBMu, 230V; mit EMV-Filter";1
2004051;1;K04680;"Extruderschweißgerät; MAK-25, 230 V, mN";1
2004052;1;K04676;"Extruderschweißgerät; MAK-18, 230 V, mN";1
2004052;2;K05131;Anker UX1 230V;1
2004052;3;K05156;"Bürstenhalter;   UX1";2
2004052;4;K05164;Verbindung;2
2004052;5;K04361;"Rillenkugellager; 6003 2RS C3 FT150";1
2004052;6;K02669;"Axialrillenkugellager; 51203";1
2004052;7;K03276;"Spiralverschraubung; BS-M 20x1,5";1
2004052;8;K03831;"Rillenkugellager; 6000 BRS";1
2004052;9;K03832;"Rillenkugellager; 608 BRS";2
2004052;10;K03839;"Sicherungsring; A14";1
2004052;11;K03636;"O-Ring; 62 x 2";1
2004052;12;K03852;"Rillenkugellager; 6000-2BRS C3";1
2004052;13;K03638;"Wellendichtring; 10x19x7 Viton, Form A";1
2004052;14;K03588;"Sicherungsring; SW 10";1
2004052;15;K05134;"Rillenkugellager UX1; 901144";1
2004052;16;K05158;"Lagerhülse; 401041";1
2004052;17;K03640;"Dichtring; 4,5 x 7 x 1  U-Seal Standard";3
2004052;18;K04172;"Öl; 80ml";1
2004052;19;K04886A;"Kohlebürste UX1; 2412";2
2004052;20;K03635;"Wellendichtring; 25x42x7 - BA";1
2004052;21;KK001;Kleinteile;1
2004052;22;KK002;Arbeitslohn;3,5
2004054;1;K02782A;"Powerbox WX2PBMu, 230V; mit EMV-Filter";1
2004054;2;K01017;"Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)";1
2004054;3;K03626;"Verschlußkappe; Gerätedose";1
2004054;4;KK001;Kleinteile;1
2004054;5;KK002;Arbeitslohn;0,75
2004055;1;K04867;"Extruderschweißgerät; MAK-40-D, 230 V, mN";1
2004055;2;K05924;"Reparatur, Regler; für Gebläse u. Heizung, Typ K";1
2004055;3;K03068;"Druckhebel 2/1-1/R; MA/E-40 u. 60";1
2004055;4;KK001;Kleinteile;1
2004055;5;KK002;Arbeitslohn;2
2004056;1;K02782A;"Powerbox WX2PBMu, 230V; mit EMV-Filter";1
2004056;2;KK002;Arbeitslohn;0,5
2004058;1;K04867;"Extruderschweißgerät; MAK-40-D, 230 V, mN";1
2004058;2;K03348;"Verbindungsleitung; WX2PBMu-WX2Mu , orange";1
2004058;3;KK001;Kleinteile;1
2004058;4;KK002;Arbeitslohn;2
2004059;1;K02782B;"Powerbox WX2PBMu, 230V; mit EMV-Filter";1
2004059;2;K01017;"Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)";1
2004059;3;KK001;Kleinteile;1
2004059;4;KK002;Arbeitslohn;0,75
2004060;1;K04672;"Extruderschweißgerät; MAK-18-S, 230 V, mN";1
2004060;2;K04813;"Rändelknopf SW; d15, 6mm Achse";1
2004060;3;K04816;"Zeiger; rot";1
2004060;4;K04814;Abdeckkappe, schwarz;1
2004060;5;K04445;"Steckachse; für Regler Typ H";1
2004060;6;K04886A;"Kohlebürste UX1; 2412";2
2004060;7;K02378;"Dichtring; 10x14x1,5 A";1
2004060;8;K04785;"Kabelklammer, Polyethylen; Größe 4";1
2004060;9;K04172;"Öl; 80ml";1
2004060;10;K03236;"Schutzrohr 17,2 x 91,5; MA/E-25";1
2004060;11;KK001;Kleinteile;1
2004060;12;KK002;Arbeitslohn;2
2004062;1;K04676;"Portable Extruder Welding Gun; MAK-18, 230 V, mN";1
2004062;2;K02689;Cable vorkonfektioniert 230V 3x2,5mm² 7m lg.;1
2004062;3;K04468;"Casing - lower section; K - Controller";1
2004062;4;K03336;"Front foil; to controller Type K";1
2004062;5;K05131;Armature UX1 230V;1
2004062;6;K02669;Axial ball bearing 51203;1
2004062;7;K04361;"Ball bearing; 6003 2RS C3 FT150";1
2004062;8;K04785;Rod Guide;1
2004062;9;K02696;Preheating nozzle 20 MA/E-25 u. 25-S ,UkR,SkR,EkR;1
2004062;10;K05924;"Electronic board ,  Type K ; Repair";1
2004062;11;K03831;Ball bearing 900639;1
2004062;12;K03832;Ball bearing 900737;2
2004062;13;K03839;Circlip 900211;1
2004062;14;K03636;O-Ring, 62 x 2;1
2004062;15;K03852;Ball bearing 901015;1
2004062;16;K03638;"Joint ring; 10x19x7 Viton, Form A";1
2004062;17;K03588;"Circlip; SW 10";1
2004062;18;K05134;"Ball bearing UX1; 901144";1
2004062;19;K05158;Bearing sleeve 401041;1
2004062;20;K03640;Seal ring 4,5x7x1;3
2004062;21;K04172;"Oil; 80ml";1
