Startdatum;Enddatum;Typ;Serviceaufträge;Gesamte_Arbeitseinheiten;Arbeitseinheiten_pro_Serviceauftrag;Serviceauftragzyklus;Bauteilnummer;Bauteilname;Gesamte_Bauteilmenge;Bauteilmenge_pro_Serviceauftrag
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K07155;"Griffring; GMAEK 18/25";22.0;0.04
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03276;"Spiralverschraubung; BS-M 20x1,5";49.0;0.08
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04469;Casing cover;6.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05048;Motor protection switch 8010608                AM 11.2;1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03586;"Erdungskabel komp.; WX2Mu, UX1";12.0;0.02
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05159;"Litze rot                EBM13; 800826";3.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04318;"Komplett Heizung; 230 V / 2100 W";30.0;0.05
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03989;"Regler; für Gebläse u. Heizung, Typ K";28.0;0.05
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04509;"Düse; 30, MA/E-K-18/25, 3mm";47.0;0.08
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05674;"Housing cover; UX1";25.0;0.04
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K06455;Kabelführung 90° / CWE13;1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03990;"Anschlussplatine; Typ K";25.0;0.04
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05148;"Vorlegerad;UX1";163.0;0.27
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03836;"Antriebsspindel; WX2/UX1";3.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03113;"Führungsstange; MA/E-25 u. 25-S";16.0;0.03
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02924;Extruder screw MA/E-25 u. 25-S;22.0;0.04
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03072;"Flachkopfschraube ; M  5 x 20";21.0;0.04
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K01598;Handle M 8 MU / 314000540;1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03589;"Kugellagerausgleichscheibe; 19,3 x 25,8 x 0,3  KAS26";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04173;"Ölwechsel-SET; UX1 + WX2Mu";2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05143;"Anker UX1 230V; 401466;";3.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02922;"Kompressionsdüse; MA/E-25 u. 25-S MAK-18";7.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K03114;"Klemmring; MA/E-25 u. 25-S";15.0;0.03
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02698;"Distanzring; 17/3           MA/E-25 u. 25-S / MAK-18";2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K07276;"Halterung; MAK 18/25, K-RHP, MEG-oben";200.0;0.33
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05224;"Touch guard; MAK-32-S";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K02741;"Warmluftführung; 20°                      ME-25";2.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04352;"Stützring; MAE/K-18/25 u. 18-S";4.0;0.01
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K05575;"Vorlegerad; 401357";1.0;0.0
01.07.2017;01.07.2021;MAK-18;599;3115.0;5.2;1.67;K04198;"Griffschale; MEG-23 / MEG-17";36.0;0.06
