Bauteil,Menge,Cluster,Frequenz,Jahr
K05151 (Zwischendeckel; UX1),3.0,1,niedrig (< 12),2018
K05154 (Field coil UX1 230V),3.0,1,niedrig (< 12),2018
K05160 (Kabelbaum; UX1),7.0,1,niedrig (< 12),2018
K05202 (Controller MM; Repair),68.0,2,"mittel (>12, <182)",2018
K05238 (Rillenkugellager),6.0,1,niedrig (< 12),2018
"K04509 (Düse; 30, MA/E-K-18/25, 3mm)",21.0,2,"mittel (>12, <182)",2018
K03832 (Rillenkugellager; 608 BRS),304.0,3,hoch (> 182),2018
K04172 (Öl; 80ml),275.0,3,hoch (> 182),2018
"K03769 (Motorgehäuse 301500_UX1; Antrieb DB, UX1)",17.0,2,"mittel (>12, <182)",2018
"K02355 (Kohlebürste; EBM13/EBL21SKE, 6,4x16x18)",16.0,2,"mittel (>12, <182)",2018
K02381 (Rillenkugellager; 6200),6.0,1,niedrig (< 12),2018
K02383A (Wellendichtring; 30x42x7 - BA),6.0,1,niedrig (< 12),2018
K02385 (Antriebsspindel; EBM13),2.0,1,niedrig (< 12),2018
K02389 (Flansch; EBM13),1.0,1,niedrig (< 12),2018
K02392 (Sicherungsring; A18),6.0,1,niedrig (< 12),2018
K02399 (Rillenkugellager; 6001),7.0,1,niedrig (< 12),2018
K02300 (Heating element 32A1 for Elect; 230 Volt 3300 Watt),1.0,1,niedrig (< 12),2018
"K02401 (O-Ring; 75,87 x 2,62)",6.0,1,niedrig (< 12),2018
K02435 (Geräteschalter; EBM13/WX2),12.0,2,"mittel (>12, <182)",2018
"K02440 (Anker gew. mit Lüfter; EBM13, 230V)",1.0,1,niedrig (< 12),2018
K02441 (Rillenkugellager; 7 x 22 x 7;),6.0,1,niedrig (< 12),2018
K02444 (Wellendichtring; 14 x 28 x 7),6.0,1,niedrig (< 12),2018
K02500 (Turbine housing upper part; complete; 107763),3.0,1,niedrig (< 12),2018
K02502 (Thermocouple for electron; without electronic),8.0,1,niedrig (< 12),2018
K02504 (Relay for hot-air blower; Electron without electronic),7.0,1,niedrig (< 12),2018
K02432 (Blind cover EBM13 800134),17.0,2,"mittel (>12, <182)",2018
"K02278 (Schaltgehäuse-Deckel; S/R, MA/E-60,40,25,G50 230/400)",14.0,2,"mittel (>12, <182)",2018
K02125 (Kompressionsdüse; MA/E-60),6.0,1,niedrig (< 12),2018
K01989 (Ball bearing 61905-2RS1),20.0,2,"mittel (>12, <182)",2018
K00438 (Temperaturendschalter 135°C; 5825 (Klixon)),0.0,1,niedrig (< 12),2018
K00474 (Heizelement 32.1; 230 Volt 2200 Watt),2.0,1,niedrig (< 12),2018
K00511 (Samicanite tube 5667),1.0,1,niedrig (< 12),2018
"K00519 (Motor (high-speed) 230 Volt 230 Volt, 5701)",14.0,2,"mittel (>12, <182)",2018
K00537 (Axial ball bearing 51105),27.0,2,"mittel (>12, <182)",2018
K00610 (Gleitlager; 6 x 12 x 8),16.0,2,"mittel (>12, <182)",2018
K00627 (Gleitlager; 8 x 12 x 8),16.0,2,"mittel (>12, <182)",2018
K00652 (Bundlager; 16 x 22 x 28 x 3 x 12),15.0,2,"mittel (>12, <182)",2018
K03831 (Rillenkugellager; 6000 BRS),155.0,2,"mittel (>12, <182)",2018
K00713 (Luftschlauch; 9 x 3; durchsichtig),1.0,1,niedrig (< 12),2018
K00744 (Extruderschnecke; UKR SKR (A)),4.0,1,niedrig (< 12),2018
K01017 (Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)),46.0,2,"mittel (>12, <182)",2018
K01068 (Axialrillenkugellager; 51104),12.0,2,"mittel (>12, <182)",2018
K01081 (Filter H 5519/5619/5719/3419/11919),22.0,2,"mittel (>12, <182)",2018
K01203 (Air baffle 5612 A),19.0,2,"mittel (>12, <182)",2018
K01485 (Mains connection clamp K 24/5 S l),0.0,1,niedrig (< 12),2018
K01598 (Handgriff; M 8 MU / 314000540),1.0,1,niedrig (< 12),2018
K02517 (Rillenkugellager; 6006 2RS),1.0,1,niedrig (< 12),2018
K02597 (Heizelement 32A1 für Electron; 230 Volt 2200 Watt mit Bohrung),12.0,2,"mittel (>12, <182)",2018
"K00659 (Seeger-Greifring; G   5,5 x 0,8)",16.0,2,"mittel (>12, <182)",2018
K02644 (Griffschale - links; Antrieb WX2),10.0,1,niedrig (< 12),2018
"K03348 (Connecting cable; Powerbox, orange)",67.0,2,"mittel (>12, <182)",2018
"K03482 (Senkschraube; DIN 7991, M 4 x  12)",209.0,3,hoch (> 182),2018
"K03586 (Erdungskabel komp.; WX2Mu, UX1)",4.0,1,niedrig (< 12),2018
K03587 (Rotor; 101184),17.0,2,"mittel (>12, <182)",2018
K03588 (Sicherungsring; SW 10),155.0,2,"mittel (>12, <182)",2018
K03592 (Lasche; oben WX2),0.0,1,niedrig (< 12),2018
K03597 (Lasche; unten WX2),1.0,1,niedrig (< 12),2018
K03614 (Platine; poti kompl.),14.0,2,"mittel (>12, <182)",2018
K03626 (Cap; 802053),26.0,2,"mittel (>12, <182)",2018
K03629 (Connection cable complete; für Powerbox WX2),7.0,1,niedrig (< 12),2018
K03635 (Wellendichtring; 25x42x7 - BA),152.0,2,"mittel (>12, <182)",2018
K03636 (O-Ring; 62 x 2),159.0,2,"mittel (>12, <182)",2018
"K03640 (Dichtring; 4,5 x 7 x 1  U-Seal Standard)",469.0,3,hoch (> 182),2018
"K03681 (Radialwellendichtring; BE 1020 , 0015)",8.0,1,niedrig (< 12),2018
K03701 (Axial ball bearing 51305),67.0,2,"mittel (>12, <182)",2018
K03702 (Ball bearing 6005 2RS C3 FT150),67.0,2,"mittel (>12, <182)",2018
"K02603 (Rohrheizpatrone; 21x31x 58, 230V, 400W)",49.0,2,"mittel (>12, <182)",2018
K03336 (Front foil; to controller Type K),31.0,2,"mittel (>12, <182)",2018
"K03276 (Screwed cable guide BS-M 20x1,5)",15.0,2,"mittel (>12, <182)",2018
"K03638 (Wellendichtring; 10x19x7 Viton, Form A)",159.0,2,"mittel (>12, <182)",2018
K03114 (Klemmring; MA/E-25 u. 25-S),14.0,2,"mittel (>12, <182)",2018
K03115 (Distanzhülse; MA/E-25 u. 25-S),1.0,1,niedrig (< 12),2018
K02648 (Fan - complete; Drive DB),27.0,2,"mittel (>12, <182)",2018
K02669 (Axialrillenkugellager; 51203),362.0,3,hoch (> 182),2018
K02645 (Griffschale - rechts; Antrieb),10.0,1,niedrig (< 12),2018
"K02689 (Kabel vorkonfektioniert; 230V 3x2,5mm² 7m lg.)",26.0,2,"mittel (>12, <182)",2018
"K02696 (Vorwärmdüse 20; MA/E-25 u. 25-S ,UkR,SkR, MAK18/25)",52.0,2,"mittel (>12, <182)",2018
K02701 (Melting chamber MA/E-25 u. 25-S),2.0,1,niedrig (< 12),2018
"K02753 (Schalter , Baugruppe; MA/E-60,40,25)",1.0,1,niedrig (< 12),2018
K02670 (Rillenkugellager; 6003-2RS1),24.0,2,"mittel (>12, <182)",2018
K02921 (Düse; 29             MA/E-25(PE) 2mm),3.0,1,niedrig (< 12),2018
K02922 (Kompressionsdüse; MA/E-25 u. 25-S MAK-18),11.0,1,niedrig (< 12),2018
"K02954 (Kohlen zu Electron 230V; ""abschaltbar"")",40.0,2,"mittel (>12, <182)",2018
K02965 (Dichtring; MA/E-25 u. 25-S),187.0,3,hoch (> 182),2018
K03035 (Circlip H 16),24.0,2,"mittel (>12, <182)",2018
K03067 (Druckhebel 1/1-1/R; MA/E-25 u. 25-S),151.0,2,"mittel (>12, <182)",2018
K03068 (Pressure lever 2/1-1/R MA/E-40 u. 60),62.0,2,"mittel (>12, <182)",2018
K03113 (Führungsstange; MA/E-25 u. 25-S),11.0,1,niedrig (< 12),2018
K04237 (Hot air tube),2.0,1,niedrig (< 12),2018
K03893 (Griffschale - rechts; Spritzgussteil              MM),13.0,2,"mittel (>12, <182)",2018
K03892 (Griffschale - links; Spritzgussteil         MM),9.0,1,niedrig (< 12),2018
K04352 (Stützring; MAE/K-18/25 u. 18-S),4.0,1,niedrig (< 12),2018
K04429 (Distanzhülse; 18 bei Berührschutz),35.0,2,"mittel (>12, <182)",2018
K06761 (Aufkleber; Abkühlzeit Deutsch-Englisch),30.0,2,"mittel (>12, <182)",2018
K05156 (Bürstenhalter;   UX1),15.0,2,"mittel (>12, <182)",2018
"K04813 (Rotatable part; d15, 6mm)",10.0,1,niedrig (< 12),2018
K04468 (Schaltgehäuse-Unterteil; K - Regler),13.0,2,"mittel (>12, <182)",2018
K04445 (Shaft; Controller Typ H),7.0,1,niedrig (< 12),2018
"K02203 (Air connection; angle 1/4"")",2.0,1,niedrig (< 12),2018
K00745 (Haltewinkel; UKR U5R U7R (A)),0.0,1,niedrig (< 12),2018
K00651 (Worm wheel UK SK UKR SKR (A)),5.0,1,niedrig (< 12),2018
K00589 (Verschraubung; PG 9),0.0,1,niedrig (< 12),2018
K00568 (Bundlager; 20 x 26 x 32 x 25),7.0,1,niedrig (< 12),2018
"K00536 (Sicherungsring; I   42 x 1,75)",5.0,1,niedrig (< 12),2018
"K00484 (O-Ring  d75,92 x d1,78; 5614)",3.0,1,niedrig (< 12),2018
"K00475 (Kohle ""35"" für 230/400 V Gerät; 5702 / 101.250 für Minor)",0.0,1,niedrig (< 12),2018
"K00638 (Drahtführung; 8 X 1,5      UK SK UKR SKR (A))",1.0,1,niedrig (< 12),2018
K02589 (Extruderschnecke; MA/E-40),0.0,1,niedrig (< 12),2018
"K00657 (Sicherungsring; I   35 x 1,5)",4.0,1,niedrig (< 12),2018
K03623 (Einbaudose kompl.; Munsch konfektioniert),30.0,2,"mittel (>12, <182)",2018
K03603 (Abstandsclip; für Leiterplatten),8.0,1,niedrig (< 12),2018
"K03406 (cable srew fitting, metal PG 16)",2.0,1,niedrig (< 12),2018
K02717 (Kohlebürstenführung Triac; 0172/0272),1.0,1,niedrig (< 12),2018
K02966 (Dichtring; MA/E-40 u. 60),8.0,1,niedrig (< 12),2018
K02924 (Extruder screw MA/E-25 u. 25-S),12.0,2,"mittel (>12, <182)",2018
"K04240 (Joint gasket, MEG-23 / MEG-17)",1.0,1,niedrig (< 12),2018
"K04253 (Isolierfolie zu MM-Xtruder; 0,25mm)",5.0,1,niedrig (< 12),2018
"K03951 (Kabelschutz; BE 1020 , 0047)",8.0,1,niedrig (< 12),2018
K03886 (Berührschutz       Heizspirale; MM),0.0,1,niedrig (< 12),2018
"K07067 (Körper; MAE/K-18/25 u. 18-S, drehbarer Griff)",0.0,1,niedrig (< 12),2018
K07155 (Griffring; GMAEK 18/25),7.0,1,niedrig (< 12),2018
K07041 (Berührschutz; MAK 18/25 dG),1.0,1,niedrig (< 12),2018
"K06915 (Netzkabel, kpl; Wedge It multi)",0.0,1,niedrig (< 12),2018
K06117 (Schweißschuh MM; 67.0120FF-32-20-M),0.0,1,niedrig (< 12),2018
"K04943 (Cable vorkonfektioniert; 1² - 27cm, grün/gelb)",5.0,1,niedrig (< 12),2018
K05048 (Motorschutzschalter; 8010608                AM 11.2),1.0,1,niedrig (< 12),2018
K05419 (Reduzierung; PG 21 auf PG 16),0.0,1,niedrig (< 12),2018
K05143 (Anker UX1 230V; 401466;),1.0,1,niedrig (< 12),2018
K02496 (Gummiring ohne Noppen),3.0,1,niedrig (< 12),2018
K02438 (Compensating shim washer UX1/EBM13 800266),1.0,1,niedrig (< 12),2018
K02205 (Staubschutzkappe; U1231),11.0,1,niedrig (< 12),2018
"K00662 (Paßscheibe, 6 x 10 x 1; UK SK UKR SKR U5R (A))",6.0,1,niedrig (< 12),2018
"K00658 (Sicherungsring; A   20 x 1,2)",2.0,1,niedrig (< 12),2018
"K02551 (Rohrheizpatrone; 30x40x170, 230V, 650W)",11.0,1,niedrig (< 12),2018
K00583 (Gleitlager; 14 x 20 x 20),6.0,1,niedrig (< 12),2018
