Bauteil,Menge,Cluster,Frequenz,Jahr
K05222 (Guide bar; MAK-32-S),0.0,1,niedrig (< 12),2018
K04235 (Heating Element; 1750W;120V; MEG-17),0.0,1,niedrig (< 12),2018
"K07313 (Senkkopfschraube; M4x12 -10.9 TX, ISO 7500-1)",0.0,1,niedrig (< 12),2018
"K07480 (Scheibe; 3,2 x 9 x 0,8)",0.0,1,niedrig (< 12),2018
K07481 (Zylinderschraube; M  3 x 16),0.0,1,niedrig (< 12),2018
"K07491 (Montagesatz; für Umrichter K07482, in K02782C)",0.0,1,niedrig (< 12),2018
K07504 (Distanzblech; 250 x 125 x 3),0.0,1,niedrig (< 12),2018
"K07509 (Isolierfolie; 40 x 40 x 0,225mm)",0.0,1,niedrig (< 12),2018
"K07513 (Abstandshalter; AG M4, 12, SW 8)",0.0,1,niedrig (< 12),2018
K07514 (Senkschraube; M  5 x   8),0.0,1,niedrig (< 12),2018
K07515 (Senkschraube; M  5 x  16),0.0,1,niedrig (< 12),2018
"K07503 (Distanzblech; 120 x 60 x 7,5)",0.0,1,niedrig (< 12),2018
K05429 (Lagerhülse; 10x50),0.0,1,niedrig (< 12),2018
K06624 (Handgriff; M8/M14),0.0,1,niedrig (< 12),2018
"K01231 (cable strip; 2,4 x  92 TYB 23 M  TB)",0.0,1,niedrig (< 12),2018
K02409 (Retaining washer; S4),0.0,1,niedrig (< 12),2018
"K07332 (Treiber BMU-Serie, BMUD120-C2)",0.0,1,niedrig (< 12),2018
"K03599C (Gehäuse-Rückteil, für Powerbox K02782C)",0.0,1,niedrig (< 12),2018
"K04941 (Kabel vorkonfektioniert; 1,5² - 6 cm, schwarz)",0.0,1,niedrig (< 12),2018
K06799 (Kappe Complete EBM13 401099),0.0,1,niedrig (< 12),2018
K07181 (Wellschlauch MEG-23),0.0,1,niedrig (< 12),2018
K06137 (Motorhousing incl. Field coil; EBM13),0.0,1,niedrig (< 12),2018
K02437 (Softpack; EBM13),0.0,1,niedrig (< 12),2018
K02412 (Fillister head screw M3 x 6),0.0,1,niedrig (< 12),2018
K02408 (Brush rocker; EBM13),0.0,1,niedrig (< 12),2018
K04100 (Düse; 69                         6mm),0.0,1,niedrig (< 12),2018
"K07634 (Frequenzumrichter  kompl. ;  Austausch, Typ C)",0.0,1,niedrig (< 12),2018
K03841 (Paßfeder; A4 x 4 x 8 hart),0.0,1,niedrig (< 12),2018
K07368 (Regler f. Extruder; 230 V / 250W MM),0.0,1,niedrig (< 12),2018
K00218 (Ball bearing 626 2RS 14311223),29.0,2,"mittel (>12, <182)",2019
K03960 (Nilos-Ring; 6003 Z AV                   MM),33.0,2,"mittel (>12, <182)",2019
"K03964 (Motoreinheit, 230V; Vorwärmung                  MM)",220.0,3,hoch (> 182),2019
"K03989 (Regler; für Gebläse u. Heizung, Typ K)",27.0,2,"mittel (>12, <182)",2019
K03990 (connecting board; Type K),16.0,2,"mittel (>12, <182)",2019
K04089A (Extruderschnecke; MAE/K-36/40),1.0,1,niedrig (< 12),2019
K04110 (Geräteschalter MINI; ohne Drehzahlregelung),38.0,2,"mittel (>12, <182)",2019
"K04135 (Kabel vorkonfektioniert; 230V 3x1,5mm² 5m lg.        MM)",63.0,2,"mittel (>12, <182)",2019
"K03949 (Kohlebuerste 230V; BE 1020 , 0044, 1 VE=2Stück)",10.0,1,niedrig (< 12),2019
K04137 (Knickschutztülle 9-11; 5200 2020    MM),4.0,1,niedrig (< 12),2019
"K04234 (Heating element, 2300W, 230V, MEG-23)",94.0,2,"mittel (>12, <182)",2019
K04258 (Frontfolie; Tasten für Regler MM),29.0,2,"mittel (>12, <182)",2019
K04259 (Frontfolie Display; für Regler  MM),71.0,2,"mittel (>12, <182)",2019
K04310 (Kabelsatz; MM-Xtruder),0.0,1,niedrig (< 12),2019
"K04318 (Heating complete, 230 V / 2300 W)",56.0,2,"mittel (>12, <182)",2019
K04361 (Rillenkugellager; 6003 2RS C3 FT150),281.0,3,hoch (> 182),2019
K04416 (Griffschale - links; Antrieb UX1),9.0,1,niedrig (< 12),2019
"K04232 (Elektronikeinheit; 230V, MEG-23)",174.0,2,"mittel (>12, <182)",2019
"K03938 (RI.KU.LA 8x 19x 6; BE 1020 , 0032)",5.0,1,niedrig (< 12),2019
"K03937 (Anker vollst. 230V (mit Tac); BE 1020 , 0031)",2.0,1,niedrig (< 12),2019
"K03923 (Rillenkugellager. 15x 32x 9; BE 1020 , 0016)",7.0,1,niedrig (< 12),2019
K03839 (Sicherungsring; A14),137.0,2,"mittel (>12, <182)",2019
K03846 (Nadelhülse; HK 0910),3.0,1,niedrig (< 12),2019
K03847 (Axiallagerscheibe; AS 0414),6.0,1,niedrig (< 12),2019
K03848 (Cable screw fitting; PG16),13.0,2,"mittel (>12, <182)",2019
K03849 (Axialnadelkranz; AXK 0414),3.0,1,niedrig (< 12),2019
K03850 (Nadelhülse; HK 1010),3.0,1,niedrig (< 12),2019
K03852 (Rillenkugellager; 6000-2BRS C3),181.0,2,"mittel (>12, <182)",2019
K03853 (Lagerkappe; WX2),3.0,1,niedrig (< 12),2019
K03879 (Extruderschnecke; MM),0.0,1,niedrig (< 12),2019
K03882B (Schmelzkammer; MM),11.0,1,niedrig (< 12),2019
K03883 (Nozzle 40-6                        MM),10.0,1,niedrig (< 12),2019
K03889 (Heizspirale; 18x125                      MM),22.0,2,"mittel (>12, <182)",2019
K03890 (Drive unit; 40 / 42 MM),38.0,2,"mittel (>12, <182)",2019
K03894 (Axiallüfter; 40 x 40 x 25                MM),0.0,1,niedrig (< 12),2019
"K03910 (Bohrspindel; BE 1020 , 0003; genutet)",4.0,1,niedrig (< 12),2019
"K03918 (Ritzelw. m. Rutschkup.; BE 1020 , 0011)",2.0,1,niedrig (< 12),2019
"K03920 (Getriebeflansch vollst.; BE 1020 , 0013)",3.0,1,niedrig (< 12),2019
K04417 (Griffschale - rechts; Antrieb UX1),9.0,1,niedrig (< 12),2019
K03836 (Antriebsspindel; WX2/UX1),5.0,1,niedrig (< 12),2019
"K04444 (Regler; Typ H, A-S-18.01, 230V)",25.0,2,"mittel (>12, <182)",2019
"K04510 (Düse; 40, MA/E-K-18-S, 4mm)",0.0,1,niedrig (< 12),2019
K05538 (Schneidkopf 18-9; MM),112.0,2,"mittel (>12, <182)",2019
K05539 (Einzugshülse V; MM),115.0,2,"mittel (>12, <182)",2019
K05540 (Einzugshülse V; MM),17.0,2,"mittel (>12, <182)",2019
K05544 (Rillenkugellager;),62.0,2,"mittel (>12, <182)",2019
K05574 (Flansch;),65.0,2,"mittel (>12, <182)",2019
K05575 (Vorlegerad; 401357),13.0,2,"mittel (>12, <182)",2019
K05585 (Cover network;),1262.0,3,hoch (> 182),2019
K05492 (Frequency Converter complete;reconditioned),24.0,2,"mittel (>12, <182)",2019
K05674 (Housing cover; UX1),8.0,1,niedrig (< 12),2019
K05766 (Motorgehäuse komplett; WX2Mu),0.0,1,niedrig (< 12),2019
"K05924 (Reparatur, Regler; für Gebläse u. Heizung, Typ K)",40.0,2,"mittel (>12, <182)",2019
K06058 (Lüfterabdeckung mit Filter ;  MM),1.0,1,niedrig (< 12),2019
K06725 (Extruder screw MM),30.0,2,"mittel (>12, <182)",2019
K06766 (Gleichrichter Powerbox),16.0,2,"mittel (>12, <182)",2019
K06773 (Öl; 100ml),5.0,1,niedrig (< 12),2019
K06972 (Rillenkugellager + Lagerhülse; montiert),106.0,2,"mittel (>12, <182)",2019
K05682 (Cover network;),540.0,3,hoch (> 182),2019
"K05442 (Distanzhülse; Id4,3 x Ad8 x 7, Ms)",14.0,2,"mittel (>12, <182)",2019
K05406 (Kurzschlussverbindung),5.0,1,niedrig (< 12),2019
K05377 (Federdrahtbügel; für Kabelbaum FU),1.0,1,niedrig (< 12),2019
K04719 (Schaltgehäuse-Unterteil; Schwarz mit feiner Struktur MM),12.0,2,"mittel (>12, <182)",2019
K04737 (Rubber connector),239.0,3,hoch (> 182),2019
"K04785 (Kabelklammer, Polyethylen; Größe 4)",259.0,3,hoch (> 182),2019
K04808B (Temperature control 230 V / 250W   MM),20.0,2,"mittel (>12, <182)",2019
K04814 (Knob cover; black),9.0,1,niedrig (< 12),2019
K04886A (Kohlebürste UX1; 2412),288.0,3,hoch (> 182),2019
K04945 (Lüftereinheit Antrieb; vormontiert),0.0,1,niedrig (< 12),2019
"K04946 (Fan guard, controller  MM)",0.0,1,niedrig (< 12),2019
K05111 (Geräteschalter UX1; ohne Drehzahlregelung),3.0,1,niedrig (< 12),2019
K05131 (Anker UX1 230V),97.0,2,"mittel (>12, <182)",2019
K05148 (Vorlegerad;UX1),68.0,2,"mittel (>12, <182)",2019
K05150 (Vorlegewelle; WX2/UX1),1.0,1,niedrig (< 12),2019
K05151 (Zwischendeckel; UX1),3.0,1,niedrig (< 12),2019
K05154 (Field coil UX1 230V),7.0,1,niedrig (< 12),2019
K05160 (Kabelbaum; UX1),7.0,1,niedrig (< 12),2019
K05202 (Controller MM; Repair),66.0,2,"mittel (>12, <182)",2019
K05238 (Rillenkugellager),6.0,1,niedrig (< 12),2019
"K04509 (Düse; 30, MA/E-K-18/25, 3mm)",9.0,1,niedrig (< 12),2019
K03832 (Rillenkugellager; 608 BRS),275.0,3,hoch (> 182),2019
K04172 (Öl; 80ml),279.0,3,hoch (> 182),2019
"K03769 (Motorgehäuse 301500_UX1; Antrieb DB, UX1)",20.0,2,"mittel (>12, <182)",2019
"K02355 (Kohlebürste; EBM13/EBL21SKE, 6,4x16x18)",16.0,2,"mittel (>12, <182)",2019
K02381 (Rillenkugellager; 6200),6.0,1,niedrig (< 12),2019
K02383A (Wellendichtring; 30x42x7 - BA),6.0,1,niedrig (< 12),2019
K02385 (Antriebsspindel; EBM13),2.0,1,niedrig (< 12),2019
K02389 (Flansch; EBM13),0.0,1,niedrig (< 12),2019
K02392 (Sicherungsring; A18),6.0,1,niedrig (< 12),2019
K02399 (Rillenkugellager; 6001),6.0,1,niedrig (< 12),2019
K02300 (Heating element 32A1 for Elect; 230 Volt 3300 Watt),0.0,1,niedrig (< 12),2019
"K02401 (O-Ring; 75,87 x 2,62)",6.0,1,niedrig (< 12),2019
K02435 (Geräteschalter; EBM13/WX2),7.0,1,niedrig (< 12),2019
"K02440 (Anker gew. mit Lüfter; EBM13, 230V)",1.0,1,niedrig (< 12),2019
K02441 (Rillenkugellager; 7 x 22 x 7;),6.0,1,niedrig (< 12),2019
K02444 (Wellendichtring; 14 x 28 x 7),6.0,1,niedrig (< 12),2019
K02500 (Turbine housing upper part; complete; 107763),2.0,1,niedrig (< 12),2019
K02502 (Thermocouple for electron; without electronic),10.0,1,niedrig (< 12),2019
K02504 (Relay for hot-air blower; Electron without electronic),5.0,1,niedrig (< 12),2019
K02432 (Blind cover EBM13 800134),21.0,2,"mittel (>12, <182)",2019
"K02278 (Schaltgehäuse-Deckel; S/R, MA/E-60,40,25,G50 230/400)",5.0,1,niedrig (< 12),2019
K02125 (Kompressionsdüse; MA/E-60),3.0,1,niedrig (< 12),2019
K01989 (Ball bearing 61905-2RS1),19.0,2,"mittel (>12, <182)",2019
K00438 (Temperaturendschalter 135°C; 5825 (Klixon)),0.0,1,niedrig (< 12),2019
K00474 (Heizelement 32.1; 230 Volt 2200 Watt),4.0,1,niedrig (< 12),2019
K00511 (Samicanite tube 5667),1.0,1,niedrig (< 12),2019
"K00519 (Motor (high-speed) 230 Volt 230 Volt, 5701)",12.0,2,"mittel (>12, <182)",2019
K00537 (Axial ball bearing 51105),19.0,2,"mittel (>12, <182)",2019
K00610 (Gleitlager; 6 x 12 x 8),12.0,2,"mittel (>12, <182)",2019
K00627 (Gleitlager; 8 x 12 x 8),12.0,2,"mittel (>12, <182)",2019
K00652 (Bundlager; 16 x 22 x 28 x 3 x 12),13.0,2,"mittel (>12, <182)",2019
K03831 (Rillenkugellager; 6000 BRS),137.0,2,"mittel (>12, <182)",2019
K00713 (Luftschlauch; 9 x 3; durchsichtig),20.0,2,"mittel (>12, <182)",2019
K00744 (Extruderschnecke; UKR SKR (A)),2.0,1,niedrig (< 12),2019
K01017 (Gummischukostecker; Pico UK UKR U5R U7R U8R E5 (A)),51.0,2,"mittel (>12, <182)",2019
K01068 (Axialrillenkugellager; 51104),15.0,2,"mittel (>12, <182)",2019
K01081 (Filter H 5519/5619/5719/3419/11919),7.0,1,niedrig (< 12),2019
K01203 (Air baffle 5612 A),8.0,1,niedrig (< 12),2019
K01485 (Mains connection clamp K 24/5 S l),0.0,1,niedrig (< 12),2019
K01598 (Handgriff; M 8 MU / 314000540),0.0,1,niedrig (< 12),2019
K02517 (Rillenkugellager; 6006 2RS),4.0,1,niedrig (< 12),2019
K02597 (Heizelement 32A1 für Electron; 230 Volt 2200 Watt mit Bohrung),15.0,2,"mittel (>12, <182)",2019
"K00659 (Seeger-Greifring; G   5,5 x 0,8)",11.0,1,niedrig (< 12),2019
K02644 (Griffschale - links; Antrieb WX2),19.0,2,"mittel (>12, <182)",2019
"K03348 (Connecting cable; Powerbox, orange)",51.0,2,"mittel (>12, <182)",2019
"K03482 (Senkschraube; DIN 7991, M 4 x  12)",0.0,1,niedrig (< 12),2019
"K03586 (Erdungskabel komp.; WX2Mu, UX1)",5.0,1,niedrig (< 12),2019
K03587 (Rotor; 101184),14.0,2,"mittel (>12, <182)",2019
K03588 (Sicherungsring; SW 10),136.0,2,"mittel (>12, <182)",2019
K03592 (Lasche; oben WX2),0.0,1,niedrig (< 12),2019
K03597 (Lasche; unten WX2),2.0,1,niedrig (< 12),2019
K03614 (Platine; poti kompl.),10.0,1,niedrig (< 12),2019
K03626 (Cap; 802053),36.0,2,"mittel (>12, <182)",2019
K03629 (Connection cable complete; für Powerbox WX2),5.0,1,niedrig (< 12),2019
K03635 (Wellendichtring; 25x42x7 - BA),138.0,2,"mittel (>12, <182)",2019
K03636 (O-Ring; 62 x 2),141.0,2,"mittel (>12, <182)",2019
"K03640 (Dichtring; 4,5 x 7 x 1  U-Seal Standard)",420.0,3,hoch (> 182),2019
"K03681 (Radialwellendichtring; BE 1020 , 0015)",6.0,1,niedrig (< 12),2019
K03701 (Axial ball bearing 51305),72.0,2,"mittel (>12, <182)",2019
K03702 (Ball bearing 6005 2RS C3 FT150),72.0,2,"mittel (>12, <182)",2019
"K02603 (Rohrheizpatrone; 21x31x 58, 230V, 400W)",36.0,2,"mittel (>12, <182)",2019
K03336 (Front foil; to controller Type K),45.0,2,"mittel (>12, <182)",2019
"K03276 (Screwed cable guide BS-M 20x1,5)",25.0,2,"mittel (>12, <182)",2019
"K03638 (Wellendichtring; 10x19x7 Viton, Form A)",142.0,2,"mittel (>12, <182)",2019
K03114 (Klemmring; MA/E-25 u. 25-S),11.0,1,niedrig (< 12),2019
K03115 (Distanzhülse; MA/E-25 u. 25-S),1.0,1,niedrig (< 12),2019
K02648 (Fan - complete; Drive DB),19.0,2,"mittel (>12, <182)",2019
K02669 (Axialrillenkugellager; 51203),359.0,3,hoch (> 182),2019
K02645 (Griffschale - rechts; Antrieb),14.0,2,"mittel (>12, <182)",2019
"K02689 (Kabel vorkonfektioniert; 230V 3x2,5mm² 7m lg.)",32.0,2,"mittel (>12, <182)",2019
"K02696 (Vorwärmdüse 20; MA/E-25 u. 25-S ,UkR,SkR, MAK18/25)",38.0,2,"mittel (>12, <182)",2019
K02701 (Melting chamber MA/E-25 u. 25-S),3.0,1,niedrig (< 12),2019
"K02753 (Schalter , Baugruppe; MA/E-60,40,25)",1.0,1,niedrig (< 12),2019
K02670 (Rillenkugellager; 6003-2RS1),19.0,2,"mittel (>12, <182)",2019
K02921 (Düse; 29             MA/E-25(PE) 2mm),2.0,1,niedrig (< 12),2019
K02922 (Kompressionsdüse; MA/E-25 u. 25-S MAK-18),5.0,1,niedrig (< 12),2019
"K02954 (Kohlen zu Electron 230V; ""abschaltbar"")",29.0,2,"mittel (>12, <182)",2019
K02965 (Dichtring; MA/E-25 u. 25-S),192.0,3,hoch (> 182),2019
K03035 (Circlip H 16),22.0,2,"mittel (>12, <182)",2019
K03067 (Druckhebel 1/1-1/R; MA/E-25 u. 25-S),146.0,2,"mittel (>12, <182)",2019
K03068 (Pressure lever 2/1-1/R MA/E-40 u. 60),67.0,2,"mittel (>12, <182)",2019
K03113 (Führungsstange; MA/E-25 u. 25-S),8.0,1,niedrig (< 12),2019
K04237 (Hot air tube),3.0,1,niedrig (< 12),2019
K03893 (Griffschale - rechts; Spritzgussteil              MM),11.0,1,niedrig (< 12),2019
K03892 (Griffschale - links; Spritzgussteil         MM),13.0,2,"mittel (>12, <182)",2019
K04352 (Stützring; MAE/K-18/25 u. 18-S),0.0,1,niedrig (< 12),2019
K04429 (Distanzhülse; 18 bei Berührschutz),43.0,2,"mittel (>12, <182)",2019
K06761 (Aufkleber; Abkühlzeit Deutsch-Englisch),23.0,2,"mittel (>12, <182)",2019
K05156 (Bürstenhalter;   UX1),14.0,2,"mittel (>12, <182)",2019
"K04813 (Rotatable part; d15, 6mm)",4.0,1,niedrig (< 12),2019
K04468 (Schaltgehäuse-Unterteil; K - Regler),12.0,2,"mittel (>12, <182)",2019
K04445 (Shaft; Controller Typ H),3.0,1,niedrig (< 12),2019
"K02203 (Air connection; angle 1/4"")",3.0,1,niedrig (< 12),2019
K00745 (Haltewinkel; UKR U5R U7R (A)),1.0,1,niedrig (< 12),2019
K00651 (Worm wheel UK SK UKR SKR (A)),2.0,1,niedrig (< 12),2019
K00589 (Verschraubung; PG 9),0.0,1,niedrig (< 12),2019
K00568 (Bundlager; 20 x 26 x 32 x 25),1.0,1,niedrig (< 12),2019
"K00536 (Sicherungsring; I   42 x 1,75)",1.0,1,niedrig (< 12),2019
"K00484 (O-Ring  d75,92 x d1,78; 5614)",0.0,1,niedrig (< 12),2019
"K00475 (Kohle ""35"" für 230/400 V Gerät; 5702 / 101.250 für Minor)",0.0,1,niedrig (< 12),2019
"K00638 (Drahtführung; 8 X 1,5      UK SK UKR SKR (A))",2.0,1,niedrig (< 12),2019
K02589 (Extruderschnecke; MA/E-40),0.0,1,niedrig (< 12),2019
"K00657 (Sicherungsring; I   35 x 1,5)",6.0,1,niedrig (< 12),2019
K03623 (Einbaudose kompl.; Munsch konfektioniert),28.0,2,"mittel (>12, <182)",2019
K03603 (Abstandsclip; für Leiterplatten),12.0,2,"mittel (>12, <182)",2019
"K03406 (cable srew fitting, metal PG 16)",3.0,1,niedrig (< 12),2019
K02717 (Kohlebürstenführung Triac; 0172/0272),1.0,1,niedrig (< 12),2019
K02966 (Dichtring; MA/E-40 u. 60),4.0,1,niedrig (< 12),2019
K02924 (Extruder screw MA/E-25 u. 25-S),13.0,2,"mittel (>12, <182)",2019
"K04240 (Joint gasket, MEG-23 / MEG-17)",2.0,1,niedrig (< 12),2019
"K04253 (Isolierfolie zu MM-Xtruder; 0,25mm)",0.0,1,niedrig (< 12),2019
"K03951 (Kabelschutz; BE 1020 , 0047)",8.0,1,niedrig (< 12),2019
K03886 (Berührschutz       Heizspirale; MM),0.0,1,niedrig (< 12),2019
"K07067 (Körper; MAE/K-18/25 u. 18-S, drehbarer Griff)",5.0,1,niedrig (< 12),2019
K07155 (Griffring; GMAEK 18/25),8.0,1,niedrig (< 12),2019
K07041 (Berührschutz; MAK 18/25 dG),5.0,1,niedrig (< 12),2019
"K06915 (Netzkabel, kpl; Wedge It multi)",2.0,1,niedrig (< 12),2019
K06117 (Schweißschuh MM; 67.0120FF-32-20-M),3.0,1,niedrig (< 12),2019
"K04943 (Cable vorkonfektioniert; 1² - 27cm, grün/gelb)",1.0,1,niedrig (< 12),2019
K05048 (Motorschutzschalter; 8010608                AM 11.2),1.0,1,niedrig (< 12),2019
K05419 (Reduzierung; PG 21 auf PG 16),0.0,1,niedrig (< 12),2019
K05143 (Anker UX1 230V; 401466;),0.0,1,niedrig (< 12),2019
K02496 (Gummiring ohne Noppen),3.0,1,niedrig (< 12),2019
K02438 (Compensating shim washer UX1/EBM13 800266),2.0,1,niedrig (< 12),2019
K02205 (Staubschutzkappe; U1231),11.0,1,niedrig (< 12),2019
"K00662 (Paßscheibe, 6 x 10 x 1; UK SK UKR SKR U5R (A))",5.0,1,niedrig (< 12),2019
"K00658 (Sicherungsring; A   20 x 1,2)",5.0,1,niedrig (< 12),2019
"K02551 (Rohrheizpatrone; 30x40x170, 230V, 650W)",15.0,2,"mittel (>12, <182)",2019
K00583 (Gleitlager; 14 x 20 x 20),1.0,1,niedrig (< 12),2019
K00582 (Gleitlager; 10 x 16 x 16),1.0,1,niedrig (< 12),2019
K00581 (Gleitlager; 5 x 10 x 10              U2 U4),0.0,1,niedrig (< 12),2019
K00575 (Sicherungsring; A   10 x 1),1.0,1,niedrig (< 12),2019
"K00452 (Linsenschraube M 4 x 10; mit Innensechsrund, TX20)",8.0,1,niedrig (< 12),2019
K00254 (Kugellager  608 2RS1; 8 X 22 X 7),11.0,1,niedrig (< 12),2019
K00645 (Fördergehäuse; UK SK UKR SKR (A)),1.0,1,niedrig (< 12),2019
K02933 (Touch guard MA/E-25 u. 25-S),0.0,1,niedrig (< 12),2019
"K02691 (Kabel vorkonfektioniert; 230V 2x2,5mm² 7m lg.        SK)",0.0,1,niedrig (< 12),2019
K02968 (Nozzle 39             MA/E-25(PP) 3mm),2.0,1,niedrig (< 12),2019
K04469 (Casing cover),4.0,1,niedrig (< 12),2019
K04653 (Schaltgehäuse-Unterteil; H-Regler),0.0,1,niedrig (< 12),2019
K04703 (Hot air guide 36; Deponie),2.0,1,niedrig (< 12),2019
"K05676 (Paßscheibe; 22 x 32 x 0,2)",0.0,1,niedrig (< 12),2019
"K05991 (Kohlebuerste 230V; BE 1100 , 0042, Satz)",0.0,1,niedrig (< 12),2019
K05814 (Compression nozzle; MA/E-32),0.0,1,niedrig (< 12),2019
K05369 (Zwischendeckel; EBM),1.0,1,niedrig (< 12),2019
K05159 (Litze rot                EBM13; 800826),2.0,1,niedrig (< 12),2019
K05113 (Nozzle),0.0,1,niedrig (< 12),2019
K03843 (Intermediate cover; WX2),3.0,1,niedrig (< 12),2019
"K02400 (Nadelhülse; HK 0808, 8x12x8)",1.0,1,niedrig (< 12),2019
K02395 (Vorlegerad; EBM13),4.0,1,niedrig (< 12),2019
"K02377 (Getriebegehäuse; EBM13, schwarz)",2.0,1,niedrig (< 12),2019
K01212 (Verschlußstopfen F-Type; 300 F 18),0.0,1,niedrig (< 12),2019
K03604 (EMV-Filter 230V),3.0,1,niedrig (< 12),2019
K02698 (Distanzring; 17/3           MA/E-25 u. 25-S / MAK-18),2.0,1,niedrig (< 12),2019
K03582 (Gewindestift; M  4 x  16),1.0,1,niedrig (< 12),2019
"K04380 (Vorwärmdüse 23 mm; 63.5 lang, A18)",0.0,1,niedrig (< 12),2019
"K04384 (Berührschutz; MEK 36,40,58,65)",0.0,1,niedrig (< 12),2019
"K04424 (Halterung MLE; oben 36,40,58,65)",0.0,1,niedrig (< 12),2019
K04554 (Lufterhitzer - Gehäuse; MLE-23 und MLE-17),3.0,1,niedrig (< 12),2019
"K04648 (Kabelverschraubung; M25, Klemmbacken)",4.0,1,niedrig (< 12),2019
"K04718 (Übergangsstück MLE; 36,40,58,65)",0.0,1,niedrig (< 12),2019
"K04413 (Warmluftführung 36,40; Behälterbau)",0.0,1,niedrig (< 12),2019
K04155 (Kohlebürstenführung abschaltbar; Electron),2.0,1,niedrig (< 12),2019
"K04739 (Lüsterklemme; 4,0-6,0²)",5.0,1,niedrig (< 12),2019
K04057 (Chain Link; MULTI),1.0,1,niedrig (< 12),2019
K04077 (Extruder body; MAE/K-36/40/58/65),0.0,1,niedrig (< 12),2019
"K04789 (Einstecktülle; für Schlauch LW13 / NW 7,2)",0.0,1,niedrig (< 12),2019
"K06039 (Distanzhülse; Id4,3 x Ad8 x 7, Ms)",0.0,1,niedrig (< 12),2019
"K06040 (Distanzhülse; Id4,3 x Ad8 x 7, Ms)",0.0,1,niedrig (< 12),2019
K06088 (Extruder body MM),4.0,1,niedrig (< 12),2019
K06455 (Kabelführung 90° / CWE13),0.0,1,niedrig (< 12),2019
K06975 (Eye screw; Pull Protection MULTI),1.0,1,niedrig (< 12),2019
K06981 (Insert; Pull-Protection; MULTI),1.0,1,niedrig (< 12),2019
K06993 (Cable collar; Pull Protection MULTI),1.0,1,niedrig (< 12),2019
"K07005 (Heizkeil, einteilig, lang, 2,5"" Heizpatrone;Wedge It multi/eco)",0.0,1,niedrig (< 12),2019
"K07105 (Heating cartridge, 3/8"" x 2,5"" ; Wedge It multi/eco)",3.0,1,niedrig (< 12),2019
"K04786 (Schaltgehäuse-Deckel; eloxiert, mN     MM)",9.0,1,niedrig (< 12),2019
K05364 (Wedge Welder; Wedge-It Multi Standard),0.0,1,niedrig (< 12),2019
"K01275 (Drossel; 3/8""                       UKA)",0.0,1,niedrig (< 12),2019
K01345 (Kabel; d = 1  blau),0.0,1,niedrig (< 12),2019
"K01346 (Kabel; d = 0,5 blau)",0.0,1,niedrig (< 12),2019
"K02156 (Rohrheizpatrone; 30x40x270, 230V, 800W)",6.0,1,niedrig (< 12),2019
K02394 (Vorlegewelle; EBM13),0.0,1,niedrig (< 12),2019
K01250 (Reduzierung; PG 9 auf PG 7),1.0,1,niedrig (< 12),2019
"K01240 (Kabel; d = 0,5 rot)",0.0,1,niedrig (< 12),2019
K00480 (Turbine 2. Stufe; 5609),1.0,1,niedrig (< 12),2019
K00539 (Ohrklemme; d 20),0.0,1,niedrig (< 12),2019
"K00549 (Einschraubschlauchtülle; G 3/8"")",0.0,1,niedrig (< 12),2019
K00647 (Untere Förderrolle; UK),1.0,1,niedrig (< 12),2019
"K00674 (Luftschlauch, grau; 14 x 18)",0.0,1,niedrig (< 12),2019
K00698 (Fettkammer; UK SK UKR SKR U5R (A)),0.0,1,niedrig (< 12),2019
K01239 (Kabel; d = 1  schwarz),0.0,1,niedrig (< 12),2019
K03595 (Kabelbaum; WX2Mu),1.0,1,niedrig (< 12),2019
K03600 (Joint),2.0,1,niedrig (< 12),2019
K03355 (Lüfter; 80 x 80 x 25),21.0,2,"mittel (>12, <182)",2019
K02649 (Luftführungseinsatz; Antrieb DB),1.0,1,niedrig (< 12),2019
K03037 (Verschraubung; RQG-P schwarz AD10 PG7),2.0,1,niedrig (< 12),2019
K03038 (Wellschlauch schwarz; Rohrflex-PA6 schwarz AD10 PG7),0.0,1,niedrig (< 12),2019
"K03071 (Druckfeder; 1,6x9,4x15,7x3,5 / VD-227C)",0.0,1,niedrig (< 12),2019
K03072 (Flachkopfschraube ; M  5 x 20),20.0,2,"mittel (>12, <182)",2019
K04407 (Schweißschuhhalter MM; 32 x 15),5.0,1,niedrig (< 12),2019
"K04423 (Halterung MEG; oben 36,40,58,65)",1.0,1,niedrig (< 12),2019
"K04512 (Düse; 40, MA/E-K-40, 4mm)",6.0,1,niedrig (< 12),2019
K04550 (Innen-6kt-Schraube; M  4 x  35),3.0,1,niedrig (< 12),2019
K04551 (Halterung; 35  Behälterbau und Deponie),4.0,1,niedrig (< 12),2019
"K04654 (Schaltgehäuse-Deckel; eloxiert, oN)",0.0,1,niedrig (< 12),2019
"K04097 (Dichtring; f.Winkelk.,k.drehb.Vorwärmdüse)",0.0,1,niedrig (< 12),2019
K04088 (Extruderschnecke; MAE/K-58),0.0,1,niedrig (< 12),2019
"K04119 (Dichtring; 8 x 11,8 x 1)",1.0,1,niedrig (< 12),2019
K04175 (Runddichtring; 10  x 3),1.0,1,niedrig (< 12),2019
K05860 (Temperature sensor for frequency converter),1.0,1,niedrig (< 12),2019
"K06072 (Verbindungsleitung; WX2PBMu-WX2Mu , orange, 1,2m lang)",3.0,1,niedrig (< 12),2019
K07180 (Öl; 100ml; EBM13),0.0,1,niedrig (< 12),2019
